| *Background* | *Code* |
| ttbar | TTBAR |
| ttbar+light | TTBARLIGHT |
| ttbar+bb | TTBARBB |
| ttbar+cc | TTBARCC |
| ttbar+HF | TTBARHF |
| Single-top | STOP |
| Single-top-t-channel| STOPTCHAN |
| Single-top-t-bar-channel | STOPBARTCHAN |
| Single-top-s-channel | STOPSCHAN |
| Single-top-Wt | STOPWTCHAN |
| Z+jets | ZJETS |
| Z+jets+light | ZJETSLIGHT |
| Z+jets+heavy | ZJETSHF |
| Z+jets+bb | ZJETSBB |
| Z+jets+cc | ZJETSCC |
| W+jets | WJETS |
| W+jets+light | WJETSLIGHT |
| W+jets+heavy | WJETSHF |
| W+jets+bb | WJETSBB |
| W+jets+cc | WJETSCC |
| V+jets | VJETS |
| V+jets+light | VJETSLIGHT |
| V+jets+heavy | VJETSHF |
| V+jets+bb | VJETSBB |
| V+jets+cc | VJETSCC |
| V+jets | VJETS |
| ttbar+V | TTBARV |
| ttbar+W | TTBARW |
| ttbar+Z | TTBARZ |
| ttbar+H | TTBARH |
| ttbar+V+4tops | TOPEW |
| Dibosons | VV |
| Tribosons | VVV |
| Multijets | MULTIJET | 
| Multijets0L | MULTIJET0L | 
| Multijets1L | MULTIJET1L |
| Tzq | TZQ | 
| Others | OTHERS |
